project,module,n_reqs,with_smell,pct
P-A,AL,36,35,97.2
P-A,AM,27,22,81.5
P-A,BM,87,77,88.5
P-A,CA,30,23,76.7
P-A,CF,90,88,97.8
P-A,CI,55,55,100.0
P-A,CM,29,28,96.6
P-A,DM,3,1,33.3
P-A,FA,91,90,98.9
P-A,FM,54,54,100.0
P-A,FT,72,71,98.6
P-A,GL,19,19,100.0
P-A,IB,52,14,26.9
P-A,IC,71,69,97.2
P-A,LF,188,176,93.6
P-A,MAIN,27,24,88.9
P-A,ML,100,55,55.0
P-A,MLA,38,36,94.7
P-A,MLB,4,2,50.0
P-A,MLD,66,36,54.5
P-A,PD,44,43,97.7
P-A,PL,34,29,85.3
P-A,SC,18,15,83.3
P-A,SF,22,14,63.6
P-A,ST,55,50,90.9
P-B,AC,124,121,97.6
P-B,AT,99,81,81.8
P-B,AU,39,33,84.6
P-B,BM,165,153,92.7
P-B,CM,224,208,92.9
P-B,CMPT,90,83,92.2
P-B,CN,70,66,94.3
P-B,DA,41,38,92.7
P-B,DBA,7,7,100.0
P-B,DE,91,58,63.7
P-B,DT,11,11,100.0
P-B,EAI,105,86,81.9
P-B,EAS,217,163,75.1
P-B,ECM,283,262,92.6
P-B,ED,1127,785,69.7
P-B,FD,741,654,88.3
P-B,FEP,108,102,94.4
P-B,FW,34,31,91.2
P-B,FX,350,336,96.0
P-B,HR-BSI,313,306,97.8
P-B,HR-JCM,86,81,94.2
P-B,HR-ORM,89,81,91.0
P-B,HR-PAS,324,289,89.2
P-B,HR-PCM,412,361,87.6
P-B,HR-SYS,98,92,93.9
P-B,HR-TAM,179,165,92.2
P-B,HR-TEM,106,101,95.3
P-B,IS,552,439,79.5
P-B,ITSM,162,156,96.3
P-B,KA,169,69,40.8
P-B,LN,1079,1016,94.2
P-B,LW,48,12,25.0
P-B,MI,87,87,100.0
P-B,MP,21,20,95.2
P-B,NE,24,24,100.0
P-B,ODA,440,407,92.5
P-B,PS,204,201,98.5
P-B,RH,226,198,87.6
P-B,RS,370,237,64.1
P-B,SCM,26,25,96.2
P-B,SN,895,784,87.6
P-B,SSMO,19,19,100.0
P-B,SSO_EAM_IM,49,44,89.8
P-B,TA,166,142,85.5
P-B,UI,31,31,100.0
P-B,기록물관리,7,5,71.4
P-C,CD,8,8,100.0
P-C,CM,7,6,85.7
P-C,CO,59,44,74.6
P-C,MB,10,9,90.0
P-C,PD,7,4,57.1
P-C,QA,49,44,89.8
P-C,UX,6,6,100.0
P-C,WP,8,7,87.5
P-C,인프라-AA,84,84,100.0
P-C,인프라-DA,17,17,100.0
P-C,인프라-TA,100,98,98.0
P-D,AM,15,13,86.7
P-D,BG,19,19,100.0
P-D,BM,60,56,93.3
P-D,CA,41,30,73.2
P-D,CF,59,58,98.3
P-D,CI,30,29,96.7
P-D,CM,29,14,48.3
P-D,EL,12,12,100.0
P-D,FA,129,128,99.2
P-D,FM,46,30,65.2
P-D,FT,65,63,96.9
P-D,IB,46,44,95.7
P-D,IC,36,36,100.0
P-D,LF,65,65,100.0
P-D,ML,61,58,95.1
P-D,PD,27,27,100.0
P-D,PL,96,96,100.0
P-D,SC,24,23,95.8
P-D,ST,70,68,97.1
P-E,MAIN,181,139,76.8
P-F,V1.4,528,517,97.9
P-F,V1.51,528,517,97.9
P-G,CS,23,17,73.9
P-G,FS,7,6,85.7
P-H,AS,26,25,96.2
P-H,CM,23,14,60.9
P-H,CT,27,25,92.6
P-H,ED,90,41,45.6
P-H,OP,18,15,83.3
P-H,VA,122,109,89.3
