segment_id,project,module,K1,K2,K3,K4,K5,K6,K7,K8,K9,K10,K11,any_smell
P-A_R00001,P-A,AL,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00002,P-A,AL,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00003,P-A,AL,0,1,1,0,0,0,0,0,0,0,1,1
P-A_R00004,P-A,AL,0,0,0,0,0,0,0,0,1,0,1,1
P-A_R00005,P-A,AL,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00006,P-A,AL,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00007,P-A,AL,0,0,0,0,0,0,0,0,0,0,0,0
P-A_R00008,P-A,AL,0,1,0,0,0,0,0,0,0,0,0,1
P-A_R00009,P-A,AL,0,1,1,0,0,0,0,0,0,1,0,1
P-A_R00010,P-A,AL,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00011,P-A,AL,0,1,1,0,0,0,0,0,0,1,0,1
P-A_R00012,P-A,AL,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00013,P-A,AL,0,1,1,0,0,0,0,0,0,1,0,1
P-A_R00014,P-A,AL,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00015,P-A,AL,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00016,P-A,AL,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00017,P-A,AL,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00018,P-A,AL,0,1,1,0,0,1,0,0,0,1,0,1
P-A_R00019,P-A,AL,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00020,P-A,AL,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00021,P-A,AL,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00022,P-A,AL,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00023,P-A,AL,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00024,P-A,AL,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00025,P-A,AL,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00026,P-A,AL,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00027,P-A,AL,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00028,P-A,AL,0,1,1,0,0,0,1,0,0,0,0,1
P-A_R00029,P-A,AL,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00030,P-A,AL,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00031,P-A,AL,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00032,P-A,AL,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00033,P-A,AL,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00034,P-A,AL,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00035,P-A,AL,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00036,P-A,AL,0,1,1,0,0,1,0,0,0,0,0,1
P-A_R00037,P-A,AM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00038,P-A,AM,0,1,1,0,0,0,0,0,1,0,0,1
P-A_R00039,P-A,AM,0,1,1,0,1,0,0,0,0,0,0,1
P-A_R00040,P-A,AM,0,1,1,0,1,0,0,0,0,0,0,1
P-A_R00041,P-A,AM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00042,P-A,AM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00043,P-A,AM,0,1,1,0,0,0,0,1,0,0,0,1
P-A_R00044,P-A,AM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00045,P-A,AM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00046,P-A,AM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00047,P-A,AM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00048,P-A,AM,0,1,1,0,0,0,0,0,0,0,0,1
P-A_R00049,P-A,AM,0,0,0,0,0,0,0,0,0,0,0,0
P-A_R00050,P-A,AM,0,0,0,0,0,0,0,0,0,0,0,0
