doc_id,source,sentence,has_smell,smell_codes,S1,S2,S3,S4,S5,S6,S7,S8,S9,S10,S11,S12,S13,S14,S15,S16,S17,S18,S19
[국가기록원]2013년 국가기록물 정리사업,HWP 요구사항후보,"기타 지원사항 붙임 제안서포함 서식 참조 2) 작성 방법 제안서는 다음의 규격을 준수하여야 한다. o 제안서는 대한민국 표준어로 작성되어야 하며, 필요시 영문표기를 병행 할 수 있다.",1,"S8, S13, S18, S19",0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,1
[국가기록원]2013년 국가기록물 정리사업,HWP 요구사항후보,"가) 일반사항 ① 국가기록원의 정보보호 정책, 지침 및 매뉴얼을 준수하여야 한다. ② 국가기록원의 자산에 접근하기 위해서는 국가기록원의 접근 통제 절차를 준수하여야 한다. ③ 국가기록원은 계약서의 보안사항을 준수하고 있는지를 감사할 권한을 가진다. ④ 국가기록원의 감사 시 필요한 근거 자료를 제공하고 현장 실사에 적극 협조하여야 한다.",1,"S1, S3, S5, S6, S18",1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
[국가기록원]2013년 국가기록물 정리사업,HWP 요구사항후보,"다) 내부 자료에 대한 보안관리 ① 업무 수행을 위해 제공하는 내부 자료는 자료관리대장을 작성하여 인수․인계 시 직접 서명한다. ② 제공된 내부 자료에 대해 복사 및 외부반출을 할 수 없으며, 업무 완료 후 국가기록원에 반환한다. ③ 제공된 내부 자료는 매일 퇴근 시 반납하여야 한다.",1,"S2, S5, S6, S18",0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
[국가기록원]2013년 국가기록물 정리사업,HWP 요구사항후보,라) 장비에 대한 보안관리 ① PC(노트북 포함)는 반입시마다 최신 바이러스 백신프로그램 설치와 바이러스 감염 여부를 확인하여야 한다. ② 업무 수행을 위해 반입된 PC는 업무 종료 시까지 반출을 할 수 없다.,1,"S5, S6, S18",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0
[국가기록원]2013년 국가기록물 정리사업,HWP 요구사항후보,마) 내․외부망 접근에 대한 보안관리 ① 사용자계정(ID)은 하나의 그룹으로 등록하고 사용자계정별로 정보시스템에 접근권한을 부여토록 한다. ② 사용자계정별로 부여된 권한은 불필요 시 곧바로 권한을 해지하거나 계정을 폐기토록 한다. ③ 국가기록원은 사용자별로 부여한 계정에 접속하여 저장된 자료와 작업이력을 확인할 수 있다. ④ 담당자는 서버 관리자로 하여금 내부 서버에 대한 접근기록을 확인하도록 한다. ⑤ PC(노트북 포함)는 인터넷 연결을 금지한다.,1,"S1, S2, S3, S6, S18",1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
[국가기록원]2013년 국가기록물 정리사업,HWP 요구사항후보,"모든 반입 PC 및 노트북은 로우레벨포맷 하여 반입하고, 반출시에도 로우레벨 포맷 결과(화면캡쳐 사진) 보고서 제출 산출 정보 보안점검 체크리스트, 작업장 방문기록대장 및 일일보안점검대장 등 관련 요구사항 요구사항 고유번호 NAK-보안-003 요구사항 분류 보안 요구사항 요구사항 명칭 외주용역사업 보안특약 요구사항 상세설명 정의 사업자는 외주용역사업 보안특약 사항을 준수하여 보안정책에 위배되지 않도록 노력하여야 함 세부내용",1,"S6, S7, S18, S19",0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1
[국가기록원]2013년 국가기록물 정리사업,HWP 요구사항후보,"사업 수행과정에서 취득한 자료와 정보에 관하여 사업수행 중은 물론 사업 완료 후에도 이를 외부에 유출해서는 안되며, 사업종료시 발주기관에서 지정하는 정보보안담당자의 입회하에 완전 폐기 또는 반납해야 함",1,"S2, S6, S18",0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
[국가기록원]2013년 국가기록물 정리사업,HWP 요구사항후보,"주관사업자가 프로젝트 수행과정과 관련된 필요한 기술이전 대상에 대한 목록과 기술이전방법 등에 대한 계획(투입인력 및 기간 등)을 제시 - 주관사업자는 정리사업의 품질개선 및 관련분야의 정보기술에 대한 지속적인 정보제공 및 기술자문에 응해야 함 - 주관사업자는 사업과 관련된 기술이전 대상을 구체적으로 제시하고 기술이전을 실시 - 정리사업 공정 중 개선이 필요한 공정에 대하여 개선방안을 제시하고, 공정흐름도 설계 및 사업에 적용 - 정리사업 작업매뉴얼 버전 업그레이드 및 예외처리사항 발생시 관련자 회의구성, 의견수렴을 통한 예외처리지침 마련",1,"S2, S3, S8, S18",0,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
[국가기록원]2013년 국가기록물 정리사업,HWP 요구사항후보,사업자는 본 프로젝트 완료 후 완성된 산출물(정리된 기록물 및 색인목록 DB)의 집중적 안정성을 확보할 수 있는 품질안정화 기간을 운영하여야 함,1,"S3, S18",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[국가기록원]2013년 국가기록물 정리사업,HWP 요구사항후보,주관사업자는 본 사업 완료 후 사업품질을 안정성 있게 유지되도록 하기 위한 세부 유지 보수 계획을 제시하여야 함,1,"S3, S9, S18",0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0
[국가기록원]2013년 국가기록물 정리사업,HWP 요구사항후보,"유지보수 지원방안을 분야별/경력별로 구분하여 지원범위, 지원방법(상주, 비상주 등), 지원인원을 제시해야 하며 유지보수 예외 대상의 경우 비용부담 조건, 유상유지보수 제안가격 등을 명확히 제시하여야 함",1,"S3, S5, S8, S18",0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0
[국가기록원]2013년 국가기록물 정리사업,HWP 요구사항후보,"주관사업자는 각종 장애 발생 시 즉각적인 원인분석 및 복구 등 유지보수를 보장하기 위하여 기술지원 부서 및 전문 인력을 확보하고 있어야 하며, 구체적인 장애조치 계획을 제시하여야 함",1,"S6, S18",0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0
[국가기록원]2013년 국가기록물 정리사업,HWP 요구사항후보,"유지보수기간 1년 중, ‘품질안정화 기간’을 설정하고 상주인력을 명시함 - 품질안정화기간은 최소 2개월 이상으로 설정하고, 기술지원 인력이 반드시 포함되어야 함 유지보수 업무수행을 총괄 관리하는 2인 이상의 상시조직을 구성하여, 주관기관이 지정하는 장소에서 상주 운영하여야 함",1,"S1, S3, S5, S9, S18",1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0
[국가기록원]2013년 국가기록물 정리사업,HWP 요구사항후보,주관사업자는 검수완료 후 하자보수기간 내 월 1회의 정기적인 예방점검 및 수시점검을 실시하여 시스템의 정상운영에 차질이 초래되지 않도록 하여야 함,1,"S3, S18",0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
[국가기록원]2013년 국가기록물 정리사업,HWP 요구사항후보,하자보수 지원은 공무원 근무시간을 기준으로 하되 발주기관의 요구가 있을 경우 근무시간 및 휴일에 관계없이 지원하여야 함,1,S18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
