seg_id,llm_label
S001,1
S002,0
S003,1
S004,0
S005,0
S006,1
S007,1
S008,1
S009,0
S010,1
S011,1
S012,1
S013,0
S014,0
S015,1
S016,0
S017,0
S018,0
S019,0
S020,1
S021,0
S022,1
S023,1
S024,1
S025,1
S026,1
S027,1
S028,0
S029,1
S030,0
S031,1
S032,1
S033,0
S034,0
S035,0
S036,1
S037,1
S038,1
S039,0
S040,0
S041,1
S042,1
S043,1
S044,0
S045,0
S046,1
S047,1
S048,0
S049,1
S050,1
S051,0
S052,1
S053,0
S054,1
S055,1
S056,1
S057,1
S058,1
S059,1
S060,1
S061,1
S062,0
S063,1
S064,1
S065,1
S066,1
S067,0
S068,0
S069,1
S070,0
S071,1
S072,1
S073,0
S074,1
S075,1
S076,1
S077,1
S078,0
S079,1
S080,1
S081,1
S082,1
S083,1
S084,1
S085,0
S086,0
S087,0
S088,1
S089,1
S090,1
S091,1
S092,1
S093,0
S094,0
S095,0
S096,1
S097,0
S098,1
S099,1
S100,1
S101,1
S102,1
S103,1
S104,1
S105,1
S106,1
S107,0
S108,0
S109,1
S110,1
S111,0
S112,1
S113,1
S114,0
S115,1
S116,1
S117,1
S118,0
S119,1
S120,1
S121,1
S122,1
S123,1
S124,1
S125,1
S126,0
S127,1
S128,1
S129,0
S130,1
S131,0
S132,0
S133,0
S134,1
S135,0
S136,1
S137,0
S138,0
S139,1
S140,1
S141,0
S142,0
S143,1
S144,1
S145,0
S146,0
S147,1
S148,0
S149,1
S150,1
S151,0
S152,1
S153,0
S154,0
S155,1
S156,1
S157,1
S158,1
S159,1
S160,1
S161,0
S162,0
S163,0
S164,1
S165,0
S166,0
S167,0
S168,0
S169,1
S170,0
S171,1
S172,1
S173,1
S174,1
S175,1
S176,0
S177,1
S178,1
S179,1
S180,0
S181,1
S182,1
S183,1
S184,1
S185,1
S186,1
S187,1
S188,1
S189,1
S190,1
S191,1
S192,1
S193,0
S194,1
S195,0
S196,1
S197,0
S198,0
S199,1
S200,0
